Fecha;Año;Medio;Posición;Artista;Canción;Nacionalidad;Género
feb-21;2021;Spotify;22;Migrantes, Alico;Si Me Tomo Una Cerveza;TR;Latino/Tropical
feb-21;2021;Spotify;23;Nicky Jam, Romeo Santos;Fan de Tus Fotos;PR, US;Urbano
feb-21;2021;Spotify;24;Myke Towers;Explícito;PR;Urbano
feb-21;2021;Spotify;25;Justin Quiles;Jeans;PR;Urbano
feb-21;2021;Spotify;26;Maluma;Hawái;CO;Urbano
feb-21;2021;Spotify;27;Mora, Lunay;Cuando Sera;SE, PR;Urbano
feb-21;2021;Spotify;28;Sebastian Yatra, Guaynaa;Chica Ideal;CO, PR;Urbano
feb-21;2021;Spotify;29;Ak4:20;Skyline;CL;Urbano
feb-21;2021;Spotify;30;Manuel Turizo, Wisin & Yandel;Mala Costumbre;CO, PR;Urbano
feb-21;2021;Spotify;31;Camilo, El Alfa;BEBÉ;ES, DO;Latino/Tropical
feb-21;2021;Spotify;32;Camilo;Vida de Rico;ES;Latino/Tropical
feb-21;2021;Spotify;33;Maluma, Lenny Tavárez, Justin Quiles;Parce (feat. Justin Quiles);CO, PR, PR;Urbano
feb-21;2021;Spotify;34;The Weeknd;Blinding Lights;CA;Pop
feb-21;2021;Spotify;35;Camilo;Ropa Cara;ES;Latino/Tropical
feb-21;2021;Spotify;36;Kali Uchis;telepatía;US;Pop
feb-21;2021;Spotify;37;Jay Wheeler, Myke Towers, Rauw Alejandro, DJ Nelson, JHAYCO, Lunay, Kendo Kaponi;La Curiosidad (feat. Dj Nelson, JHAYCO, Lunay & Kendo Kaponi) - Blue Grand Prix Remix;PR, PR, PR, PR, PR, PR, PR;Urbano
feb-21;2021;Spotify;38;Jay Wheeler, DJ Nelson, Myke Towers;La Curiosidad;PR, PR, PR;Urbano
feb-21;2021;Spotify;39;Lele Pons, Guaynaa;Se Te Nota (with Guaynaa);VE, PR;Pop
feb-21;2021;Spotify;40;J Balvin, Dua Lipa, Bad Bunny, Tainy;UN DIA (ONE DAY) (Feat. Tainy);CO, GB, PR, PR;Urbano
feb-21;2021;Spotify;41;KAROL G, Anuel AA, J Balvin;LOCATION;CO, PR, CO;Urbano
feb-21;2021;Spotify;42;Rauw Alejandro, J Balvin;De Cora <3;PR, CO;Urbano
feb-21;2021;Spotify;43;Jerry Di;Mi Cuarto;VE;Urbano
feb-21;2021;Spotify;44;Bad Bunny;BOOKER T;PR;Urbano
feb-21;2021;Spotify;45;Flow La Movie, Nio Garcia, Casper Magico;Travesuras;PR, PR, PR;Urbano
feb-21;2021;Spotify;46;C. Tangana, Niño de Elche, La Húngara;Tú Me Dejaste De Querer;ES, ES;Pop
feb-21;2021;Spotify;47;Anuel AA, Ozuna;Antes;PR, PR;Urbano
feb-21;2021;Spotify;48;Ak4:20;Rata Tan Tan;CL;Urbano
feb-21;2021;Spotify;49;Bad Bunny;HACIENDO QUE ME AMAS;PR;Urbano
feb-21;2021;Spotify;50;Rauw Alejandro, Camilo;Tattoo - Remix with Camilo;PR, ES;Urbano
feb-21;2021;Spotify;51;KAROL G;Ay, DiOs Mío!;CO;Urbano
feb-21;2021;Spotify;52;Olivia Rodrigo;drivers license;US;Pop
feb-21;2021;Spotify;53;Ozuna, Camilo;Despeinada;PR, ES;Urbano
feb-21;2021;Spotify;54;JHAYCO, Bad Bunny;CÓMO SE SIENTE - Remix;PR, PR;Urbano
feb-21;2021;Spotify;55;Yan Block, Jay Wheeler, DJ Nelson;Vete Pal Carajo;PR, PR;Urbano
feb-21;2021;Spotify;56;Lyanno, Rauw Alejandro, Lenny Tavárez, Maria Becerra;En Tu Cuerpo - Remix;PR, PR, PR, AR;Urbano
feb-21;2021;Spotify;57;Paloma Mami;Religiosa;CL;Urbano
feb-21;2021;Spotify;58;Bizarrap, NATHY PELUSO;Nathy Peluso: Bzrp Music Sessions, Vol. 36;AR, ES;Urbano
feb-21;2021;Spotify;59;Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka;La Jeepeta - Remix;PR, PR, PR, PR, PR;Urbano
feb-21;2021;Spotify;60;Sech, J Balvin;La Luz;PA, CO;Urbano
feb-21;2021;Spotify;61;Piso 21, Maluma;Más De La Una;CO, CO;Urbano
feb-21;2021;Spotify;62;Bad Bunny, Daddy Yankee;La Santa;PR, PR;Urbano
feb-21;2021;Spotify;63;Ozuna;Caramelo;PR;Urbano
feb-21;2021;Spotify;64;Maluma;Agua de Jamaica;CO;Urbano
feb-21;2021;Spotify;65;KAROL G, Nicki Minaj;Tusa;CO, US;Urbano
feb-21;2021;Spotify;66;The Weeknd;Save Your Tears;CA;Pop
feb-21;2021;Spotify;67;Wisin, Yandel, Farruko, Jon Z, Don Chezina, Chencho Corleone, Myke Towers;3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix;PR, PR, PR, PR, US, PR, PR;Urbano
feb-21;2021;Spotify;68;Rauw Alejandro, Arcángel, Randy;Soy Una Gargola;PR, PR, US;Urbano
feb-21;2021;Spotify;69;Super Yei, Sammy Baby, Jone Quest, Myke Towers, Lenny Tavárez, Rafa Pabön;La Forma en Que Me Miras;PR, PR, PR, PR, PR;Urbano
feb-21;2021;Spotify;70;Brytiago, Jay Wheeler;Desnudarte;PR, PR;Urbano
feb-21;2021;Spotify;71;Kiddtetoon, Diego Smith, Ozuna;Illuminati - Remix;PR;Urbano
feb-21;2021;Spotify;72;Jeeiph;Bonita;VE;Urbano
feb-21;2021;Spotify;73;Bad Bunny;A Tu Merced;PR;Urbano
feb-21;2021;Spotify;74;Bad Bunny, Jowell & Randy, Ñengo Flow;Safaera;PR, PR, PR;Urbano
feb-21;2021;Spotify;75;Arcángel, Justin Quiles, Eladio Carrion, De La Ghetto;Tussi;PR, PR, PR, PR;Urbano
feb-21;2021;Spotify;76;Anuel AA, Bad Bunny;Hasta Que Dios Diga;PR, PR;Urbano
feb-21;2021;Spotify;77;Bad Bunny;La Difícil;PR;Urbano
feb-21;2021;Spotify;78;Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow;Hola - Remix;PR, PR, PR, PR, PA;Urbano
feb-21;2021;Spotify;79;Ozuna, KAROL G, Myke Towers;Caramelo - Remix;PR, CO, PR;Urbano
feb-21;2021;Spotify;80;Daddy Yankee, Anuel AA, Kendo Kaponi;Don Don;PR, PR, PR;Urbano
feb-21;2021;Spotify;81;Rauw Alejandro;Dile a El;PR;Urbano
feb-21;2021;Spotify;82;Harry Styles;Watermelon Sugar;GB;Pop
feb-21;2021;Spotify;83;Mora, JHAYCO;512;SE, PR;Urbano
feb-21;2021;Spotify;84;Bad Bunny, Sech;Ignorantes;PR, PA;Urbano
feb-21;2021;Spotify;85;JHAYCO, J Balvin, Bad Bunny;No Me Conoce - Remix;PR, CO, PR;Urbano
feb-21;2021;Spotify;86;Dua Lipa;Don't Start Now;GB;Pop
feb-21;2021;Spotify;87;Camilo;Favorito;ES;Latino/Tropical
feb-21;2021;Spotify;88;Black Eyed Peas, Shakira;GIRL LIKE ME;US, CO;Pop
feb-21;2021;Spotify;89;Luis Fonsi, Rauw Alejandro;Vacío;PR, PR;Latino/Tropical
feb-21;2021;Spotify;90;Bad Bunny;Vete;PR;Urbano
feb-21;2021;Spotify;91;Bad Bunny, Mora;Una Vez;PR, SE;Urbano
feb-21;2021;Spotify;92;J Balvin, Bad Bunny;LA CANCIÓN;CO, PR;Urbano
feb-21;2021;Spotify;93;Bad Bunny;Si Veo a Tu Mamá;PR;Urbano
feb-21;2021;Spotify;94;Ovy On The Drums, Danny Ocean, KAROL G;Miedito o Qué? (feat. KAROL G);CO, US, CO;Urbano
feb-21;2021;Spotify;95;Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex;El Efecto - Remix;PR, PR, PR, PR, PR, PR;Urbano
feb-21;2021;Spotify;96;Tainy, J Balvin;Agua (with J Balvin);PR, CO;Urbano
feb-21;2021;Spotify;97;Doja Cat;Streets;US;Pop
feb-21;2021;Spotify;98;Santaferia;Algún Día Volverás;CL;Latino/Tropical
feb-21;2021;Spotify;99;Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow;Elegí (feat. Dímelo Flow);PR, PR, PR, PA;Urbano
feb-21;2021;Spotify;100;The Police;Every Breath You Take;GB;Pop
mar-21;2021;Spotify;1;Los Legendarios, Wisin, JHAYCO;Fiel;PR, PR, PR;Urbano
mar-21;2021;Spotify;2;Myke Towers, Juhn;Bandido;PR, PR;Urbano
mar-21;2021;Spotify;3;Bad Bunny, JHAYCO;DÁKITI;PR, PR;Urbano
mar-21;2021;Spotify;4;Rochy RD, Myke Towers, Nicki Nicole;Ella No Es Tuya - Remix;DO, PR, AR;Urbano
mar-21;2021;Spotify;5;Sech;911;PA;Urbano
mar-21;2021;Spotify;6;Bad Bunny, ROSALÍA;LA NOCHE DE ANOCHE;PR, ES;Urbano
mar-21;2021;Spotify;7;El Futuro Fuera De Orbita, Harry Nach, La Nevula23 Productor;Juju Juju;RD, CL ;Urbano
mar-21;2021;Spotify;8;Myke Towers;Explícito;PR;Urbano
mar-21;2021;Spotify;9;Boza;Hecha Pa' Mi;PA;Urbano
mar-21;2021;Spotify;10;KAROL G;BICHOTA;CO;Urbano
mar-21;2021;Spotify;11;Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy;No Te Enamores - Remix;IT, PR, PR, PR, DO;Urbano
mar-21;2021;Spotify;12;Kali Uchis;telepatía;US;Pop
mar-21;2021;Spotify;13;Rauw Alejandro, Anuel AA;Reloj;PR, PR;Urbano
mar-21;2021;Spotify;14;Selena Gomez, Rauw Alejandro;Baila Conmigo (with Rauw Alejandro);US, PR;Pop
mar-21;2021;Spotify;15;Daddy Yankee;PROBLEMA;PR;Urbano
mar-21;2021;Spotify;16;Nicky Jam, Myke Towers;Polvo;PR, PR;Urbano
mar-21;2021;Spotify;17;Bad Bunny;TE MUDASTE;PR;Urbano
mar-21;2021;Spotify;18;Ak4:20;Skyline;CL;Urbano
mar-21;2021;Spotify;19;Ak4:20;Siempre Fine;CL;Urbano
mar-21;2021;Spotify;20;Manuel Turizo, Rauw Alejandro, Myke Towers;La Nota;CO, PR, PR;Urbano
mar-21;2021;Spotify;21;Justin Quiles;Ponte Pa' Mi;PR;Urbano
mar-21;2021;Spotify;22;Paloma Mami;Religiosa;US;Urbano
mar-21;2021;Spotify;23;Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie;Travesuras - Remix;PR, PR, PR, PR, PR, PR;Urbano
mar-21;2021;Spotify;24;Nicky Jam, Romeo Santos;Fan de Tus Fotos;PR, US;Urbano
mar-21;2021;Spotify;25;Ozuna, J Balvin, Chencho Corleone;Una Locura;PR, CO, PR;Urbano
mar-21;2021;Spotify;26;Camilo, Evaluna Montaner;Machu Picchu;ES, VE;Latino/Tropical
mar-21;2021;Spotify;27;Wisin, Myke Towers, Los Legendarios;Mi Niña;PR, PR, PR;Urbano
mar-21;2021;Spotify;28;JHAYCO;Christian Dior;PR;Urbano
mar-21;2021;Spotify;29;KEVIN ROLDAN, Bryant Myers, Lyanno;HASTA ABAJO;CO, PR, PR;Urbano
mar-21;2021;Spotify;30;Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK;Además de Mí - Remix;AR, AR, AR, AR;Urbano
mar-21;2021;Spotify;31;Ak4:20;Rata Tan Tan;CL;Urbano
mar-21;2021;Spotify;32;Manuel Turizo, Wisin & Yandel;Mala Costumbre;CO, PR;Urbano
mar-21;2021;Spotify;33;Migrantes, Alico;Si Me Tomo Una Cerveza;TR;Latino/Tropical
mar-21;2021;Spotify;34;Sebastian Yatra, Guaynaa;Chica Ideal;CO, PR;Urbano
mar-21;2021;Spotify;35;Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko;Relación - Remix;PA, PR, CO, ES, PR;Urbano
mar-21;2021;Spotify;36;Maluma;Hawái;CO;Urbano
mar-21;2021;Spotify;37;The Weeknd;Blinding Lights;CA;Pop
mar-21;2021;Spotify;38;KAROL G, Anuel AA, J Balvin;LOCATION;CO, PR, CO;Urbano
mar-21;2021;Spotify;39;Justin Quiles;Jeans;PR;Urbano
mar-21;2021;Spotify;40;Yeinomercy, KEISHON TRIGGA, Luxian, S4vage;Dale Corte (feat. Luxian, Keishon Trigga, & S4vage);CL;Urbano
mar-21;2021;Spotify;41;Camilo, El Alfa;BEBÉ;ES, DO;Latino/Tropical
mar-21;2021;Spotify;42;J Balvin, Dua Lipa, Bad Bunny, Tainy;UN DIA (ONE DAY) (Feat. Tainy);CO, GB, PR, PR;Urbano
mar-21;2021;Spotify;43;Maluma, Lenny Tavárez, Justin Quiles;Parce (feat. Justin Quiles);CO, PR, PR;Urbano
mar-21;2021;Spotify;44;Jay Wheeler, Myke Towers, Rauw Alejandro, DJ Nelson, JHAYCO, Lunay, Kendo Kaponi;La Curiosidad (feat. Dj Nelson, JHAYCO, Lunay & Kendo Kaponi) - Blue Grand Prix Remix;PR, PR, PR, PR, PR, PR, PR;Urbano
mar-21;2021;Spotify;45;J Balvin;Tu Veneno;CO;Urbano
mar-21;2021;Spotify;46;Mora, Lunay;Cuando Sera;SE, PR;Urbano
mar-21;2021;Spotify;47;Farruko;La Tóxica;PR;Urbano
mar-21;2021;Spotify;48;Rauw Alejandro, J Balvin;De Cora <3;PR, CO;Urbano
mar-21;2021;Spotify;49;Jay Wheeler, DJ Nelson, Myke Towers;La Curiosidad;PR, PR, PR;Urbano
