"Fecha","Medio","Posición","Artista","Canción","Nacionalidad","Genero"
"ene-23","Spotify","91","El BAI, Cris Mj, SowlBeatz","Pensándote","CL, CL","Urbano"
"ene-23","Spotify","92","Standly","Pégate","CL","Urbano"
"ene-23","Spotify","93","Polimá Westcoast, Pailita","ULTRA SOLO","CL","Urbano"
"ene-23","Spotify","94","El Jordan 23, Standly","Bailando","CL","Urbano"
"ene-23","Spotify","95","Piso 21, Manuel Turizo","Los Cachos","CO, CO","Urbano"
"ene-23","Spotify","96","Quevedo, Omar Montes","DAME","ES","Urbano"
"ene-23","Spotify","97","Morat","No Se Va","CO","Pop"
"ene-23","Spotify","98","Pailita, Cris Mj, Big Cvyu","Dime Tú","CL","Urbano"
"ene-23","Spotify","99","Quevedo, Ovy On The Drums","SIN SEÑAL","CO","Urbano"
"ene-23","Spotify","100","Rels B","cómo dormiste?","ES","Urbano"
"feb-23","Spotify","1","Yandel, Feid","Yandel 150","PR, CO","Urbano"
"feb-23","Spotify","2","King Savagge, Jere Klein","2 Hielos","CL","Urbano"
"feb-23","Spotify","3","KAROL G, Romeo Santos","X SI VOLVEMOS","CO, US","Urbano"
"feb-23","Spotify","4","Ozuna, Feid","Hey Mor","PR, CO","Urbano"
"feb-23","Spotify","5","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","AR, CO","Urbano"
"feb-23","Spotify","6","Pailita, Cris Mj, Young Cister","Llámame Bebé","CL","Urbano"
"feb-23","Spotify","7","Manuel Turizo","La Bachata","CO","Urbano"
"feb-23","Spotify","8","Feid","Feliz Cumpleaños Ferxxo","CO","Urbano"
"feb-23","Spotify","9","Jere Klein, ITHAN NY","Los Diablotes","CL, CL","Urbano"
"feb-23","Spotify","10","Jere Klein, Lucky Brown","Mandame Tu Ubi","CL","Urbano"
"feb-23","Spotify","11","Marcianeke, Jere Klein, Gold Music","Muñeca","CL, CL","Urbano"
"feb-23","Spotify","12","Jairo Vera, Best","Con Puras de 25","CL","Urbano"
"feb-23","Spotify","13","KAROL G, Ovy On The Drums","CAIRO","CO, CO","Urbano"
"feb-23","Spotify","14","Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile","Marisola - Remix","CL, AR","Urbano"
"feb-23","Spotify","15","Arcángel, Bad Bunny","La Jumpa","PR, PR","Urbano"
"feb-23","Spotify","16","Feid","CHORRITO PA LAS ANIMAS","CO","Urbano"
"feb-23","Spotify","17","Harry Nach, Cris Mj, Pablo Chill-E, Polimá Westcoast, Aqua VS, Tom fomt, Kreamly, Nikxz","LOKOTRON REMIX","CL, CL, CL","Urbano"
